"candidate_id","title","location","hire_flag"
2649,"Senior System Integration Engineer en Telecom Argentina","Florida Oeste, Buenos Aires, Argentina",0
2650,"Senior Collections Analyst en The Adecco Group","San Nicolás, City of Buenos Aires, Argentina",0
2651,"Sr Integration & API Support Engineer at Salesforce","Flores, City of Buenos Aires, Argentina",0
2652,"*","Barracas, City of Buenos Aires, Argentina",0
2653,"Customer Support Specialist","Martínez, Buenos Aires, Argentina",1
2654,"Analista Programador","La Boca, City of Buenos Aires, Argentina",1
2655,"Ejecutivo de cuentas en DDN Central de Seguros","Florida Oeste, Buenos Aires, Argentina",0
2656,"Ejecutivo de cuentas en thinner tede","Piñeiro, Buenos Aires, Argentina",0
2657,"Estudiante avanzada de Relaciones del trabajo. Poseo experiencia en administración de personal y liquidación de sueldos.","Barracas, City of Buenos Aires, Argentina",0
2658,"Programador Jr. en Sistran Informática","Flores, City of Buenos Aires, Argentina",0
2659,"Analista de contabilidad en Mercedes-Benz Argentina","Retiro, City of Buenos Aires, Argentina",0
2660,"Analista de administración y nómina en Visión 101 S.A.","Balvanera, City of Buenos Aires, Argentina",0
2665,"National Key Account Manager en Red Bull","Retiro, City of Buenos Aires, Argentina",0
2666,"Analista de Infraestructura Senior","Lanús Oeste, Buenos Aires, Argentina",0
2667,"Life Planner® Prudential Seguros S. A.","Puerto Madero, City of Buenos Aires, Argentina",0
2668,"Soporte IT","Banfield Oeste, Buenos Aires, Argentina",1
10366,"Node.js Developer","Bogota,D.C., Capital District, Colombia",0
23603,"Software Quality Engineer at Tilix Digital@PagSeguro PagBank","Goiânia, Goiás, Brazil",1
2673,"Senior - Full-Stack Software Developer en Hexacta","Argentina",0
23017,"Tech Manager at PicPay","São Paulo, São Paulo, Brazil",0
2674,"Software developer at Hexacta Company","Bahía Blanca, Buenos Aires, Argentina",0
2675,"Java Developer","Buenos Aires, City of Buenos Aires, Argentina",0
4258,"Senior Android Mobile Engineer at iX.co","Argentina",0
36001,"DevOps @Pickit","Argentina",0
2678,"Front End Developer en Weather Underground","Salta, Salta, Argentina",1
29941,"Embedded Software Engineer & Cybersecurity enthusiast","Monterrey, Nuevo León, Mexico",1
2681,"Software Engineer at BeeReal - Software Development & UX Design","Tandil, Buenos Aires, Argentina",0
2682,"Software Developer at ProCoop SRL","Argentina",0
2683,"Developer at AW Software S.R.L.","Argentina",0
2685,"Python & nodejs developer and Blockchain and FinTech technologies integration expert. DevOp Engineer","Argentina",0
9516,"Full Stack Developer en BairesDev","Mexico",0
54446,"Technical Recruiter at Factored","Medellín, Antioquia, Colombia",0
37072,"Software Developer","Ixtapaluca, México, Mexico",0
2690,"Frontend developer • Ex @MediaMonks • Freelancer by night 🌙 • @FWA Judge 👨‍⚖️ • in love with UI animations 🖤","Argentina",0
4752,"Remote Senior Android Developer & Self-Taught Tech Enthusiast","Peru",0
3626,"Engineering Lead at Rootstrap","Uruguay",0
2693,"Senior Software Developer Analyst en Telecentro","Argentina",0
2695,"Web Developer at Simplistic","Buenos Aires, City of Buenos Aires, Argentina",0
2696,"Backend Developer at Widergy","Ciudad Madero, Buenos Aires, Argentina",0
30782,"Ruby Developer en Globant","Chile",0
34611,"Networking, Cybersecurity, Coding","Buenos Aires, Buenos Aires Province, Argentina",0
3950,"Technical Writer at Shogun","Jaraguá do Sul, Santa Catarina, Brazil",0
23018,"Software Engineer at PagSeguro PagBank","Taubaté, São Paulo, Brazil",0
52673,"SSr Adv QC Analyst","Buenos Aires, Buenos Aires Province, Argentina",0
2701,"Software Developer at Veritran","Piñeiro, Buenos Aires, Argentina",0
2702,"Blockchain Developer at IOV Labs","Buenos Aires, City of Buenos Aires, Argentina",0
2704,"Software Developer","Argentina",0
2714,"Software Developer at DZone","Bahía Blanca, Buenos Aires, Argentina",0
6396,"Senior Software Engineer at 3778","Florianópolis, Santa Catarina, Brazil",0
31732,"DevOps Developer en Software Natura","Asunción, Asunción, Paraguay",0
2955,"Director IT Operations at Brighter","Los Angeles, California, United States",0
31888,"Product Manager at Oyster Financial, Inc.","Mexico",0
5630,"Chief Operating Officer (COO) na Zup Innovation","Uberlândia, Minas Gerais, Brazil",0
2707,"Desarrollador de back-end en Infoxel Media Labs","Santa María de Punilla, Cordoba, Argentina",0
8545,"Senior System Software Engineer","Argentina",0
2710,"Front-end Developer","Buenos Aires, City of Buenos Aires, Argentina",0
14748,"Software Developer","Argentina",0
52674,"Game Quality Analyst Jr. Adv. at Globant","Montevideo, Montevideo, Uruguay",0
2709,"Software Engineer","Tandil, Buenos Aires Province, Argentina",0
2713,"Sr Software Engineer at Pretty Technical","Tandil, Provincia de Buenos Aires, Argentina",0
54447,"Client Facing Recruiter / Talent Sourcer","Heredia, Costa Rica",0
37073,"Java Software Engineer at Bonzzu","Ensenada, Baja California, Mexico",0
12983,"Character Artist en NXA Studios","Buenos Aires, Buenos Aires Province, Argentina",0
13091,"Lic. en Ciencias de la Computación, Exactas, Universidad de Buenos Aires. Fullstack developer.","Buenos Aires, Buenos Aires Province, Argentina",0
6021,"Senior SysAdmin at Despegar.com","Buenos Aires, Buenos Aires Province, Argentina",0
2718,"Software Engineer - Backend at Elementum","Argentina",0
1489,"Technical Leader Frontend Senior en Plus54","Buenos Aires, Buenos Aires Province, Argentina",0
2720,"Software Engineer, Programming Technician.","Cordoba, Cordoba, Argentina",0
12113,"Software Developer","Buenos Aires, Buenos Aires Province, Argentina",0
31435,"UX/UI Designer","Miguel Hidalgo, Mexico City, Mexico",0
2723,"Mobile Developer at Advanced Software","Argentina",0
2724,"Computer Engineer. Information System Development. Business Management. Entrepreneurship.","San Miguel de Tucuman, Tucuman, Argentina",0
4952,"Chief Technology Officer en SuperPesos","Cúcuta, Norte de Santander, Colombia",0
50560,"Industrial Engineer -MSc Graduate Management Engineering","Colombia",0
27863,"Software Developer","Envigado, Antioquia, Colombia",0
36002,"Data Engineer, LatAm Spoke en Sodexo Servicios de Beneficios e Incentivos","Santiago, Santiago Metropolitan, Chile",0
2727,"Full-Stack Developer","Buenos Aires, City of Buenos Aires, Argentina",0
