"job_id","title","date_range"
2233,"Sr. Software Developer","November 2016 – Present(3 years 4 months)Greater Buenos Aires, Argentina"
2763,"Senior Software Engineer","agosto de 2015 – Actualidad(4 años y 7 meses)"
3177,"Technical Lead","junio de 2019 – Actualidad(9 meses)"
3743,"Analyst & Senior Developer","agosto de 2015 – Actualidad(4 años y 7 meses)Mar del Plata"
3937,"Senior Backend Developer","agosto de 2018 – Actualidad(1 año y 7 meses)"
4327,".NET Lead Developer","enero de 2019 – Actualidad(1 año y 2 meses)Remote"
5061,"Senior Software Engineer","octubre de 2019 – Actualidad(5 meses)"
5660,"Senior Full Stack Developer","October 2016 – Present(3 years 5 months)Vicente Lopez, Buenos Aires"
5825,"Senior Software Developer","agosto de 2013 – Actualidad(6 años y 7 meses)Córdoba, Argentina"
5938,"Analista técnico","November 2015 – Present(4 years 4 months)CABA"
5939,"Estudiante","February 2008 – Present(12 years 1 month)"
5940,"Analista Semi Senior en Ingenieria","September 2018 – June 2019(9 months)Gran Buenos Aires, Argentina"
5941,"Tecnico en Service","July 2015 – September 2015(2 months)"
5942,"Senior System Integration Engineer","June 2019 – Present(9 months)Capital Federal, Argentina"
5943,"Collection Analyst","August 2014 – January 2019(4 years 5 months)Buenos Aires, Argentina"
5944,"Administrativo","December 2011 – July 2012(7 months)San Juan de Pasto"
5945,"Asesor Proyectos Productivos","February 2009 – March 2011(2 years 1 month)San Juan de Pasto, Colombia"
5946,"Senior Collections Analyst","January 2018 – Present(2 years 2 months)Argentina"
5947,"Advanced Customer Support","May 2014 – October 2019(5 years 5 months)Capital Federal"
5948,"Analista Semi Sr","November 2009 – May 2014(4 years 6 months)Argentina"
5949,"Sr integration & api support engineer","October 2019 – Present(5 months)Argentina"
5950,"Store Manager","January 2011 – September 2014(3 years 8 months)Gran Buenos Aires, Argentina"
5951,"Ejecutivo de compras","November 2008 – August 2011(2 years 9 months)"
5952,"Junior Assistant Manager","March 1996 – May 2000(4 years 2 months)Argentina capital"
5953,"Ejecutivo de ventas empresariales","May 2015 – Present(4 years 10 months)"
5954,"Functional Analyst","March 2015 – December 2018(3 years 9 months)Buenos Aires, Argentina"
5955,"IT Support Specialist","November 2009 – March 2015(5 years 4 months)Buenos Aires, Argentina"
5956,"Customer Support Specialist","January 2019 – Present(1 year 2 months)Buenos Aires, Argentina"
5957,"Vendedora","July 2004 – May 2012(7 years 10 months)Argentina"
5958,"Desarrollador de aplicaciones Java","July 2018 – Present(1 year 8 months)"
5959,"Administrativo de facturación","July 2017 – February 2018(7 months)Arenales 707 , Capital federal , Argentina"
5960,"Auxiliar administrativo","June 2017 – July 2017(1 month)PUERTO MADERO"
5961,"Cadete administrativo","July 2016 – May 2017(10 months)Munro , Vicente lopez"
5962,"Cadete administrativo","July 2016 – May 2017(10 months)Munro , Vicente lopez"
5963,"Cadete Adminisrativo","October 2015 – July 2016(9 months)Florida , Vicente lopez"
5964,"Cadete","January 2014 – September 2015(1 year 8 months)Florida"
5965,"Ejecutivo de cuentas","February 2018 – Present(2 years 1 month)Vicente lopez 1090, Martinez, Argentina"
5966,"Ejecutivo de cuentas","April 2015 – August 2016(1 year 4 months)"
5967,"Jefe de Ventas","March 2013 – March 2015(2 years)"
5968,"Ejecutivo de cuentas","July 2011 – August 2012(1 year 1 month)"
5969,"Supervisor comercial","March 2010 – April 2011(1 year 1 month)"
5970,"Ejecutivo de cuentas","December 2003 – December 2008(5 years)"
5971,"Representante de ventas","July 1997 – August 2003(6 years 1 month)"
5972,"Gerente de ventas","October 1995 – June 1997(1 year 8 months)"
5973,"Jefe de Ventas","May 1992 – March 1995(2 years 10 months)"
5974,"Gerente de ventas","September 1990 – April 1992(1 year 7 months)"
5975,"Jefe de Ventas","June 1987 – April 1990(2 years 10 months)"
5976,"Supervisor de ventas","October 1981 – March 1987(5 years 5 months)"
5977,"Ejecutivo de Cuentas Division Maderas","January 2017 – Present(3 years 2 months)Hurlingham - Buenos Aires - Argentina"
5978,"Encargada de RRHH y Liquidador de Sueldos","March 2015 – May 2017(2 years 2 months)Ciudad Autónoma de Buenos Aires"
5979,"Facturación - Administración","November 2013 – July 2014(8 months)Argentina"
5980,"Recepcionista","July 2013 – November 2013(4 months)Argentina"
5981,"Secretaria administrativa.","2010 – 2012"
5982,"Liquidadora de sueldos","May 2017 – October 2019(2 years 5 months)CABA"
5983,"Functional Tester","January 2010 – November 2018(8 years 10 months)"
5984,"Administrativo","July 2007 – December 2009(2 years 5 months)Ciudad Autónoma de Buenos Aires"
5985,"Vendedor","October 2006 – July 2007(9 months)Ciudad Autónoma de Buenos Aires"
5986,"Programador Jr","June 2019 – Present(9 months)"
5987,"Analista Sr. Cuentas a Pagar","September 2013 – June 2016(2 years 9 months)"
5988,"Pasante","2012 – April 2013"
5989,"Analista de contabilidad","July 2016 – Present(3 years 8 months)"
5990,"Analista de administración","February 2017 – November 2017(9 months)Ciudad de Buenos Aires, Argentina"
5991,"Pasante compensaciones y beneficios","August 2015 – January 2017(1 year 5 months)"
5992,"Secretaria","June 2011 – August 2015(4 years 2 months)Ciudad Autónoma de Buenos Aires"
5993,"Analista de administración y nómina","January 2018 – Present(2 years 2 months)"
6007,"Distribution Partner Manager (DPM) GBA & Costa","March 2017 – Present(3 years)Argentina"
6008,"Key Account Executive (KAE)","March 2015 – March 2017(2 years)Argentina"
6009,"Analista Senior de Ventas","November 2013 – March 2015(1 year 4 months)Argentina"
6010,"Analista de Stock","November 2012 – November 2013(1 year)Argentina"
6011,"National Key Account Manager","February 2019 – Present(1 year 1 month)Argentina"
6012,"Responsable de IT","March 2014 – March 2015(1 year)"
6013,"SysAdmin","July 2013 – March 2014(8 months)"
6014,"Linux System Administrator (contratacion por proyecto)","April 2013 – July 2013(3 months)"
6015,"Linux SysAdmin","June 2012 – April 2013(10 months)"
6016,"SysAdmin Linux Applications","January 2011 – January 2013(2 years)"
6017,"Windwos/Linux Administrator","March 2010 – December 2010(9 months)"
6018,"Field Engineer VAS","April 2008 – December 2009(1 year 8 months)"
6019,"Business Support","October 2006 – March 2008(1 year 5 months)"
6020,"SysAdmin Senior","March 2015 – Present(5 years)"
6021,"Ejecutivo de cuentas","July 2017 – Present(2 years 8 months)Argentina"
6022,"Representante del servicio de atención al cliente","July 2014 – Present(5 years 8 months)Argentina"
6023,"Atención al cliente","September 2011 – July 2014(2 years 10 months)"
6024,"Recepción","July 2011 – August 2011(1 month)"
6025,"Life Planner® - Business Insurance Specialist en Prudential Seguros","February 2019 – Present(1 year 1 month)Argentina"
6026,"Soporte Sistemas IT","March 2017 – April 2019(2 years 1 month)Gran Buenos Aires, Argentina"
6027,"Soporte IT","June 2015 – February 2017(1 year 8 months)"
6028,"encargado de soporte tecnico","May 2007 – June 2015(8 years 1 month)"
6029,"Técnico de campo de TI","June 2019 – Present(9 months)capital federal"
6063,"Semi-Senior - Full-Stack Software Developer","February 2017 – December 2019(2 years 10 months)Clay 2954, Palermo, CABA"
6064,"Pasante - Software Developer","August 2015 – January 2017(1 year 5 months)Clay 2954, Palermo, CABA"
6065,"Técnico","June 2015 – July 2015(1 month)"
6066,"Técnico","April 2015 – April 2015"
6067,"Senior - Full-Stack Software Developer","December 2019 – Present(3 months)Argentina"
6068,"Software Developer","March 2019 – August 2019(5 months)Bahía Blanca, Buenos Aires, Argentina"
6069,"Software Developer","May 2018 – March 2019(10 months)Bahía Blanca, Buenos Aires, Argentina"
6070,"Intern P1","November 2017 – April 2018(5 months)Bahía Blanca, Buenos Aires, Argentina"
6071,"Intern P0","July 2017 – September 2017(2 months)Bahía Blanca, Buenos Aires, Argentina"
6072,"Software Developer","August 2019 – Present(7 months)Bahía Blanca, Buenos Aires, Argentina"
6073,"Java Developer","August 2018 – Present(1 year 7 months)Buenos Aires, Argentina"
6093,"Owner","April 2009 – Present(10 years 11 months)"
6094,"Fullstack Developer","January 2017 – August 2017(7 months)New York"
6095,"Front End Developer","August 2016 – December 2016(4 months)Remote"
6096,"Fullstack Developer","March 2015 – December 2015(9 months)Freelance"
6097,"Web Developer","March 2013 – December 2013(9 months)San Francisco Bay Area"
6098,"Partner","September 2009 – February 2012(2 years 5 months)Salta, Argentina"
6099,"Isolucion.net","October 2009 – October 2010(1 year)"
6100,"Encargado","June 2008 – April 2009(10 months)"
6101,"Analista de créditos","July 2006 – June 2008(1 year 11 months)"
6102,"SOPORTE IT","February 2006 – July 2006(5 months)"
6103,"Full Stack Engineer","February 2018 – Present(2 years 1 month)Greater Buenos Aires, Argentina"
6125,"Java Developer","February 2018 – November 2018(9 months)Greater Buenos Aires, Argentina"
6126,"Software Developer","May 2017 – February 2018(9 months)Tandil, Buenos Aires"
6127,"Servicio técnico","October 2015 – May 2017(1 year 7 months)"
6128,"Software Developer","November 2018 – Present(1 year 4 months)Tandil, Buenos Aires"
6129,"Front End Developer","August 2015 – April 2016(8 months)"
6130,"Video editing and Graphic Design","December 2010 – March 2016(5 years 3 months)"
6131,"Multimedia Design","2010 – 2016"
6132,"Founder","February 2014 – June 2014(4 months)Córdoba, Argentina"
6133,"Data Entry","January 2009 – June 2009(5 months)"
6134,"Software Developer","September 2017 – Present(2 years 6 months)Córdoba Province, Argentina"
6135,"Java Developer","August 2016 – February 2019(2 years 6 months)"
6136,"Java Developer","September 2008 – July 2016(7 years 10 months)"
6137,"Developer","September 2019 – Present(6 months)Buenos Aires, Argentina"
6143,"Senior Software Developer","April 2019 – Present(11 months)Caracas, Venezuela"
6144,"Activista","2011 – Present"
6145,"Informático","Present"
6146,"Programador Django & ReactJS","April 2019 – April 2019Miami/Fort Lauderdale y alrededores, Estados Unidos"
6147,"Programador y Adminsitrador de plataforma web","2011 – March 2019"
6148,"Operating System Specialist","January 2013 – April 2013(3 months)Venezuela"
6149,"Programador","2010 – 2010"
6150,"Backend Developer","November 2019 – Present(4 months)Argentina"
6168,"FWA Judge","June 2018 – Present(1 year 9 months)Argentina"
6169,"Frontend Developer","July 2018 – April 2019(9 months)Argentina"
6170,"Frontend Developer","December 2016 – July 2018(1 year 7 months)Argentina"
6171,"Front-End MONK - UI ANIMATIONS","January 2016 – December 2016(11 months)Argentina"
6172,"Front End Developer - UI Animations","December 2013 – January 2016(2 years 1 month)Argentina"
6173,"Freelance Frontend Developer","July 2018 – Present(1 year 8 months)Argentina"
